item_id,legacy_triple_index,subject,subject_type,relation,object,object_type,publication_year,model_reported_extraction_score,evidence_quote,provenance_recovery_status,paper_id,chunk_index,source_title,source_modality,source_chunk_text,subject_correct,object_correct,relation_correct,entity_types_correct,evidence_quote_supports_triple,source_metadata_correct,triple_specific_enough,reviewer_id,comments
triple-042,108,Logic Scoring of Preference (LSP),METHOD,PRODUCES,"precision, recall, and f1-score rates of more than 80%",FINDING,2023,0.95,"The results of the experimental study show precision, recall, and f1-score rates of more than 80%, indicating that LSP could effectively characterize the application under attack",unique_normalized_exact_quote_match,cf206555bb0eb545921dcfcaac0f36ad0d4025f6,0,Exploring Logic Scoring of Preference for DoS Attack Detection in Microservice Applications,abstract,"Microservice architectures allow the development of highly scalable, flexible, and manageable systems. However, such architectures raise new security problems and exacerbate the challenge of monitoring applications at runtime due to their high service granularity and distributed nature. Developing effective monitoring and security strategies is thus crucial to effectively detect potential attacks. This paper explores the applicability of Logic Scoring of Preference (LSP), a multi-criteria decision-making method to compute a score based on a set of preferences, for attack detection in microservice applications. We present an extensive experimental study and define a model based on LSP and application-level metrics to characterize the impact of DoS attacks. The output of the model is a unique score used to determine whether a microservice is under a DoS attack. The results of the experimental study show precision, recall, and f1-score rates of more than 80%, indicating that LSP could effectively characterize the application under attack, opening several possibilities for future work.",,,,,,,,,
triple-043,332,dynamic policy enforcement,METHOD,COMBINES,automated patching,METHOD,2022,0.9,"Through the combination of dynamic policy enforcement and automated patching, the proposed framework provides a robust solution to protect containerized microservices from emerging threats",unique_normalized_exact_quote_match,b9bc41d91f848e5177eaab14b899071fe095b0ae,0,Runtime Vulnerability Mitigation for Containerized Microservices through Dynamic Policy Enforcement and Automated Patching,abstract,"As the adoption of containerized microservices grows, the complexity of securing these environments increases. Containerized applications offer scalability and flexibility but introduce significant runtime security challenges due to their dynamic and decentralized nature. This paper proposes a framework for mitigating vulnerabilities in containerized microservices by employing dynamic policy enforcement and automated patching techniques. The framework continuously monitors the container runtime environment, identifying potential vulnerabilities in real-time. Dynamic policies, based on both predefined security standards and behavior-based anomaly detection, are enforced to restrict the execution of malicious or compromised services. Furthermore, automated patching mechanisms are integrated to ensure that vulnerabilities are addressed promptly, minimizing the window of exposure. The patching process is designed to be seamless, enabling containers to be updated without downtime, thus maintaining system availability. Through the combination of dynamic policy enforcement and automated patching, the proposed framework provides a robust solution to protect containerized microservices from emerging threats while ensuring continuous operation. This research also highlights the importance of adapting security measures in response to the dynamic nature of microservices and presents a case study demonstrating the effectiveness of the proposed approach. The results suggest that dynamic policy enforcement coupled with automated patching is an essential strategy for mitigating runtime vulnerabilities in modern containerized environments, ensuring better security without compromising system performance.",,,,,,,,,
triple-044,652,Microservices and Blockchain Based One Time Password protocol,METHOD,EVALUATES_ON,private and public Blockchain configurations,CONCEPT,2021,0.85,Experiments prove the goodness of our MBB-OTP protocol considering both private and public Blockchain configurations,unique_normalized_exact_quote_match,3082b464eb036f925a76952f88d3f3c19cbb2a4f,0,A Microservices and Blockchain Based One Time Password (MBB-OTP) Protocol for Security-Enhanced Authentication,abstract,"Nowadays, the increasing complexity of digital applications for social and business activities has required more and more advanced mechanisms to prove the identity of subjects like those based on the Two-Factor Authentication (2FA). Such an approach improves the typical authentication paradigm but it has still some weaknesses. Specifically, it has to deal with the disadvantages of a centralized architecture causing several security threats like denial of service (DoS) and man-in-the-middle (MITM). In fact, an attacker who succeeds in violating the central authentication server could be able to impersonate an authorized user or block the whole service. This work advances the state of art of 2FA solutions by proposing a decentralized Microservices and Blockchain Based One Time Password (MBB-OTP) protocol for security-enhanced authentication able to mitigate the aforementioned threats and to fit different application scenarios. Experiments prove the goodness of our MBB-OTP protocol considering both private and public Blockchain configurations.",,,,,,,,,
triple-045,181,time-series telemetry-coverage quantification,METHOD,APPLIED_TO,OpenTelemetry Demo dataset,DATASET,2026,0.95,time-series telemetry-coverage quantification applied to the OpenTelemetry Demo dataset,unique_normalized_exact_quote_match,7c8045a4b4f52b91db283c040afbb78c8a6ac7db,0,AI-Driven Observability for Managing Security Complexity in Cloud-native Microservices and Containerized Environments,abstract,"This study investigates security-visibility challenges in cloud-native microservices by analysing adversarial behaviours using the MITRE ATT&CK container-techniques dataset, assessing observability limitations through time-series telemetry-coverage quantification applied to the OpenTelemetry Demo dataset, and proposing an AI-driven observability model for security anomaly detection. The proposed method employs an unsupervised deep autoencoder trained on integrated telemetry from the Google Cloud Microservices Demo and Kubernetes audit logs to learn normal system behaviour and identify anomalies, defined as statistically significant deviations from established baseline telemetry patterns associated with validated security events. Model performance was evaluated using a hold-out train–test validation protocol across combined multi-source telemetry datasets. Results show that the AI-driven observability model improves detection effectiveness compared with a baseline rule-based monitoring approach, increasing recall from 54% to 84%, reducing false negatives from 690 to 240, and substantially lowering average detection latency under comparable operational conditions. These findings demonstrate that AI-enabled observability enhances detection accuracy, reduces monitoring blind spots and supports more timely operational decision-making through improved multi-layer telemetry correlation. Accordingly, the study recommends unified telemetry pipelines, consistent instrumentation across microservices, adoption of unsupervised anomaly-detection models and the development of AI-observability standards to improve the reliability and security of cloud-native systems.",,,,,,,,,
triple-046,566,ADS-B,TOOL,LACKS,encryption,CONCEPT,2020,0.95,"However, ADS-B is prone to several cyber-security threats due to the lack of data authentication and encryption.",unique_normalized_exact_quote_match,aa77d5ad503788b3410c4833ffb4b278b5201c28,0,A Microservices Architecture for ADS-B Data Security Using Blockchain,abstract,"The use of Automatic Dependent Surveillance - Broadcast (ADS-B) for aircraft tracking and flight management operations is widely used today. However, ADS-B is prone to several cyber-security threats due to the lack of data authentication and encryption. Recently, Blockchain has emerged as new paradigm that can provide promising solutions in decentralized systems. Furthermore, software containers and Microservices facilitate the scaling of Blockchain implementations within cloud computing environment. When fused together, these technologies could help improve Air Traffic Control (ATC) processing of ADS-B data. In this paper, a Blockchain implementation within a Microservices framework for ADS-B data verification is proposed. The aim of this work is to enable data feeds coming from third-party receivers to be processed and correlated with that of the ATC ground station receivers. The proposed framework could mitigate ADS- B security issues of message spoofing and anomalous traffic data. and hence minimize the cost of ATC infrastructure by throughout third-party support.",,,,,,,,,
triple-047,3,multivocal review,METHOD,APPLIED_TO,securing microservices,CONCEPT,2021,0.95,"To capture the state of the art and practice in securing microservices, we conducted a multivocal review of the existing white and grey literature on the topic.",unique_normalized_exact_quote_match,40fda014e97c5ff3bfe5a3a55766b79d17cd42c8,0,Smells and Refactorings for Microservices Security: A Multivocal Literature Review,abstract,"Context: Securing microservice-based applications is crucial, as many IT companies are delivering their businesses through microservices. If security smells affect microservice-based applications, they can possibly suffer from security leaks and need to be refactored to mitigate the effects of security smells therein. Objective: As the currently available knowledge on securing microservices is scattered across different pieces of white and grey literature, our objective here is to distill well-known smells for securing microservices, together with the refactorings enabling to mitigate the effects of such smells. Method: To capture the state of the art and practice in securing microservices, we conducted a multivocal review of the existing white and grey literature on the topic. We systematically analyzed 58 studies published from 2014 until the end of 2020. Results: Ten bad smells for securing microservices are identified, which we organized in a taxonomy, associating each smell with the security properties it may violate and the refactorings enabling to mitigate its effects. Conclusions: The security smells and the corresponding refactorings have pragmatic value for practitioners, who can exploit them in their daily work on securing microservices. They also serve as a starting point for researchers wishing to establish new research directions on securing microservices.",,,,,,,,,
triple-048,48,"methodologies for detection, tolerance and mitigation of security intrusions",METHOD,ADDRESSES,security intrusions,CONCEPT,2020,0.95,"methodologies for detection, tolerance and mitigation of security intrusions",unique_normalized_exact_quote_match,1c63a43ebef0b112e86a455a34aee78b08cca035,0,Improving the Security of Microservice Systems by Detecting and Tolerating Intrusions,abstract,"Microservice architectures adoption is growing expeditiously in market size and adoption, including in business-critical systems. This is due to agility in development and deployment further increased by containers and their characteristics. Ensuring security is still a major concern due to challenges faced such as resource separation and isolation, as improper access to one service might compromise complete systems. This doctoral work intends to advance the security of microservice systems through research and improvement of methodologies for detection, tolerance and mitigation of security intrusions, while overcoming challenges related to multi-tenancy, heterogeneity, dynamicity of systems and environments. Our preliminary research shows that host-based IDSes are applicable in container environments. This will be extended to dynamic scenarios, serving as a steppingstone to research intrusion tolerance techniques suited to these environments. These methodologies will be demonstrated in realistic microservice systems: complex, dynamic, scalable and elastic.",,,,,,,,,
triple-049,663,AZTEM,METHOD,ADDRESSES,"stationary trust models, loose access rules and encryption functions that hangs in the air with the advent of quantum computing",CONCEPT,2025,0.95,A Self-evolving Zero-Trust Model of Adaptive Cloud security with AI-based Threat Mitigation and Quantumresilient Encryption is introduced and is capable of addressing these emerging problems.,unique_normalized_exact_quote_match,d5cc9fbb197d4e02eba3d20ee1c5f6224b95e2cb,0,AZTEM: A Self-Evolving Zero-Trust Model for Adaptive Cloud Security Using AI-Driven Threat Mitigation and Quantum-Resilient Encryption,abstract,"The new digital ecosystems are being based on cloud environments but they are highly vulnerable to the shifts in cyber threat, which can take advantage of the stationary trust models, loose access rules and encryption functions that hangs in the air with the advent of quantum computing. The traditional models of perimeter based security fail to operate in highly dynamic cloud environments with insider based mauling, cross-lateral mauling and the zero day mauling bypassing the traditional security models. In this work, A Self-evolving Zero-Trust Model of Adaptive Cloud security with AI-based Threat Mitigation and Quantumresilient Encryption is introduced and is capable of addressing these emerging problems. AZTEM eliminates the implicit trust, validating and permitting all user, device, and microservice relations through the utilization of a contextsensitive trust engine that is reinforced by reinforcement learning algorithms. To counter the rapid adaptations of attack vectors, the system relies on the deep-learning-based anomaly detection methods such as LSTM-based sequence classifiers on cloud workload telemetry, network flow logs, and publicly accessible datasets (UNSW-NB15 and CICIDS2018). An adaptive policy controller is the basis of dynamic orchestration of mitigation strategies and uses AI-based response mechanisms to quarantine, reroute, or restrict malicious sessions in real time. Besides, the model includes quantum-resilient encryption that extends the protection of both data-at-rest and data-in-transit by using lattice cryptography to secure quantum decryption threats where confidentiality is ensured at the long-term scale. An initial deployment of AWS on Kubernetes clusters demonstrated that threat detection accuracy and false positives decreased by 27 percent and 34 percent respectively over a baseline zero-trust deployment, and performance overhead is less than 8 percent. Its application in adversarial context was assessed through measures such as precision, recall, F1-score and confidence intervals and proved it to be qualified. The architecture is not only making the cloud more resilient to the present, and the infrastructures of the quantum age impervious to the threats of the quantum age, but it is also providing businesses, governments and hard-to-secure areas in need of cloud security without a trade-off an ethical and scaleable and deployment-ready path.",,,,,,,,,
triple-050,7,Microservices architecture,CONCEPT,USES,Application Programming Interfaces,TOOL,2019,0.9,Microservices generally communicate with each other using Application Programming Interfaces (APIs),unique_normalized_exact_quote_match,fb3d52bcb2a1ca5b588ce01846d002c12edd713c,0,Security strategies for microservices-based application systems,abstract,"Microservices architecture is increasingly being used to develop application systems since its smaller codebase facilitates faster code development, testing, and deployment as well as optimization of the platform based on the type of microservice, support for independent development teams, and the ability to scale each component independently. Microservices generally communicate with each other using Application Programming Interfaces (APIs), which requires several core features to support complex interactions between a substantial number of components. These core features include authentication and access management, service discovery, secure communication protocols, security monitoring, availability/resiliency improvement techniques (e.g., circuit breakers), load balancing and throttling, integrity assurance techniques during induction of new services, and handling of session persistence. Additionally, the core features could be bundled or packaged into architectural frameworks such as API gateways and service mesh. The purpose of this document is to analyze the multiple implementation options available for each individual core feature and configuration options in architectural frameworks, develop security strategies that counter threats specific to microservices, and enhance the overall security profile of the microservices-based application.",,,,,,,,,
triple-051,94,proposed framework,METHOD,EVALUATES_ON,microservices,CONCEPT,2022,0.9,a set of 20 microservices were tested to proof its applicability and benefits,unique_normalized_exact_quote_match,fb0262ce63a579b385fe11af143a4e3f43004429,0,Trusted Microservices: A Security Framework for Users' Interaction with Microservices Applications,abstract,"Microservices architecture emerges as a promising software design approach that provides large scale software systems with flexibility, scalability and fault tolerance. Moreover, it is considered a suitable design to be implemented using software containers provided with several cloud providers. However, microservices suffer from several security challenges that hinder its progress. The concept of microservices is to break down the system functionality to a number of small coherent services. Hence, using microservices as a design approach increases the security risks by expanding the risk surface. In contrast to microservices, monolithic applications are implemented as a bulk of codes using single programming language. Such environment has several drawbacks related to flexibility and maintainability, but limits security issues. On the other hand, microservices implementation uses several programming languages and frameworks to implement small units of system functionality. Such environment opens the door to new critical security issues. The proposed work introduces the problem of securing microservices and provides a novel approach to protect microservices applications from masquerade attacks. The proposed framework also provides high protection to users from malicious services. The framework was implemented using 150 software containers to define users' HTTP requests and a set of 20 microservices were tested to proof its applicability and benefits",,,,,,,,,
triple-052,471,experimental validation,METHOD,PRODUCES,0% inter-tenant leakage,FINDING,2026,0.85,"Experimental validation in a distributed environment demonstrates the effective integration of federated authentication, dynamic policy evaluation based on JWT claims, and network isolation with 0% inter-tenant leakage.",unique_normalized_exact_quote_match,22ace70b22f48955ed083a85771451d7a837b602,0,Security Policy Orchestration in SDN–Microservices Environments,abstract,"Securing SDN-microservices environments requires a coherent orchestration of identity, authentication, and authorization policies. This paper proposes an architecture integrating FreeIPA for centralized identity management, Keycloak for federated authentication using OAuth2/OIDC, Open Policy Agent for declarative policy-as-code authorization, and VXLAN for multitenant network segmentation. The proposed approach ensures end-to-end, multi-layer governance, ranging from applicationlevel access control to the orchestration of the SDN control plane via RESTCONF. Experimental validation in a distributed environment demonstrates the effective integration of federated authentication, dynamic policy evaluation based on JWT claims, and network isolation with 0% inter-tenant leakage. The results confirm the feasibility of secure orchestration aligned with Zero Trust principles, providing a modular and extensible solution for cloud-native SDN-microservices infrastructures.",,,,,,,,,
triple-053,212,novel framework,METHOD,COMBINES,artificial intelligence,METHOD,2024,0.9,This article introduces a novel framework integrating artificial intelligence with microservices security,unique_normalized_exact_quote_match,00edf7db9f062ff0357743e29d731ee435be051a,0,AI-Enhanced Microservice Security in Cloud-Based Financial Platforms: A Case Study of AWS Implementation,abstract,"Securing cloud-based financial platforms presents unique challenges in an era of increasing cyber threats and distributed architectures. This article introduces a novel framework integrating artificial intelligence with microservices security, specifically designed for insurance and annuity sector applications. The proposed solution leverages predictive analytics and machine learning algorithms to enhance threat detection and response capabilities within containerized environments, implemented using Kubernetes on AWS infrastructure. The article demonstrates significant improvements in threat detection accuracy, system response time, and overall security posture while maintaining operational efficiency. The framework's implementation across multiple financial institutions reveals enhanced capabilities in identifying zero-day threats, reducing false positives, and maintaining regulatory compliance. Results indicate substantial improvements in security incident response times and operational efficiency compared to traditional security approaches. This article contributes to the growing body of knowledge in cloud security by presenting a scalable, AI-driven security architecture that addresses the unique challenges of microservices in financial platforms, while providing a blueprint for future implementations in similar high-security environments.",,,,,,,,,
triple-054,348,microservice security agent,METHOD,ADDRESSES,secure authentication mechanism,CONCEPT,2019,0.9,we propose a microservice security agent to integrate the edge computing platform with the API gateway technology for presenting a secure authentication mechanism.,unique_normalized_exact_quote_match,ed9771ad472ea1c2a7b493c7dd50358fbe759483,0,Microservice Security Agent Based On API Gateway in Edge Computing,abstract,"Internet of Things (IoT) devices are embedded with software, electronics, and sensors, and feature connectivity with constrained resources. They require the edge computing paradigm, with modular characteristics relying on microservices, to provide an extensible and lightweight computing framework at the edge of the network. Edge computing can relieve the burden of centralized cloud computing by performing certain operations, such as data storage and task computation, at the edge of the network. Despite the benefits of edge computing, it can lead to many challenges in terms of security and privacy issues. Thus, services that protect privacy and secure data are essential functions in edge computing. For example, the end user’s ownership and privacy information and control are separated, which can easily lead to data leakage, unauthorized data manipulation, and other data security concerns. Thus, the confidentiality and integrity of the data cannot be guaranteed and, so, more secure authentication and access mechanisms are required to ensure that the microservices are exposed only to authorized users. In this paper, we propose a microservice security agent to integrate the edge computing platform with the API gateway technology for presenting a secure authentication mechanism. The aim of this platform is to afford edge computing clients a practical application which provides user authentication and allows JSON Web Token (JWT)-based secure access to the services of edge computing. To integrate the edge computing platform with the API gateway, we implement a microservice security agent based on the open-source Kong in the EdgeX Foundry framework. Also to provide an easy-to-use approach with Kong, we implement REST APIs for generating new consumers, registering services, configuring access controls. Finally, the usability of the proposed approach is demonstrated by evaluating the round trip time (RTT). The results demonstrate the efficiency of the system and its suitability for real-world applications.",,,,,,,,,
triple-055,380,hybrid encryption algorithm,METHOD,COMBINES,RSA,METHOD,2021,0.85,the hybrid encryption algorithm hybridized by encryption algorithm of Rivest Shamir Adleman (RSA),unique_normalized_exact_quote_match,3f7510f5e175698777c9e644ceb99d2490adbdf8,0,Design and Achievement of Security Mechanism of API Gateway Platform Based on Microservice Architecture,abstract,"To solve the current security problems of the microservice architecture, the security mechanism of the API gateway platform using the microservice platform is designed and implemented. To solve the corresponding security problems, a new API platform security mechanism is designed. In the data transmission, the hybrid encryption algorithm hybridized by encryption algorithm of Rivest Shamir Adleman (RSA) and encryption algorithm of Advanced Encryption Standard (AES) is used for data encryption. An API gateway between the client and the microservice is introduced as the only entrance for users to access the microservice, avoiding the complexity of the client logic caused by the direct communication between the client and the server. After the introduction of the API gateway, the API-level service operation authority can be controlled; the security of the front-end and back-end transmission data is improved without affecting the transmission performance. The algorithm designed takes longer time than the AES encryption algorithm, but shorter than the RSA encryption algorithm, which indicates that the time-consuming of the algorithm designed is acceptable, showing the feasibility of the algorithm. The content can provide an important theoretical basis for the security of API gateway platform of microservice architecture.",,,,,,,,,
triple-056,12,OpenID Connect,METHOD,ADDRESSES,security in microservices,CONCEPT,2022,0.85,"To face the problems, mechanisms such as OAuth 2.0, OpenID Connect, API Gateway and JWT are used.",unique_normalized_exact_quote_match,d64c1a7d9f3e9794a171e81f0d83fff2f1311457,0,Authentication and Authorization in Microservices Architecture: A Systematic Literature Review,abstract,"The microservice architectural style splits an application into small services, which are implemented independently, with their own deployment unit. This architecture can bring benefits, nevertheless, it also poses challenges, especially about security aspects. In this case, there are several microservices within a single system, it represents an increase in the exposure of the safety surface, unlike the monolithic style, there are several applications running independently and must be secured individually. In this architecture, microservices communicate with each other, sometimes in a trust relationship. In this way, unauthorized access to a specific microservice could compromise an entire system. Therefore, it brings a need to explore knowledge about issues of security in microservices, especially in aspects of authentication and authorization. In this work, a Systematic Literature Review is carried out to answer questions on this subject, involving aspects of the challenges, mechanisms and technologies that deal with authentication and authorization in microservices. It was found that there are few studies dealing with the subject, especially in practical order, however, there is a consensus that communication between microservices, mainly due to its individual and trustworthy characteristics, is a concern to be considered. To face the problems, mechanisms such as OAuth 2.0, OpenID Connect, API Gateway and JWT are used. Finally, it was found that there are few open-source technologies that implement the researched mechanisms, with some mentions of the Spring Framework.",,,,,,,,,
triple-057,131,adaptation actions,METHOD,ADDRESSES,security threats,CONCEPT,2023,0.95,adaptation actions can be triggered to mitigate the threats,unique_normalized_exact_quote_match,17bf57a46b7f6255cc355f0d5624e44106e5c711,0,Techniques and Tools for Runtime Security Monitoring and Analysis of Microservices,abstract,"Microservice architectures are highly scalable, flexible, and manageable applications. However, their distributed nature and high service granularity increase the challenge of monitoring and identifying attacks. Protecting microservice applications and developing security solutions capable of dealing with unique microservice characteristics is essential. This Ph.D. work aims to develop innovative solutions for enhancing the security of microservice applications at runtime. Through extensive research, the project will explore techniques for monitoring and detecting potential attacks in microservice scenarios at application-layer, considering the existing challenges. Thus, when a possible attack is detected, adaptation actions can be triggered to mitigate the threats improving application security.",,,,,,,,,
triple-058,494,Microservices-based edge computing framework,METHOD,USES,containerization technology,TOOL,2023,0.95,We also propose a Microservices-based edge computing framework that provides secure edge AI algorithms as Microservices utilizing the containerization technology,unique_normalized_exact_quote_match,514a96af287ab19a399479f91ae91a28b1593c5c,0,AI-Enabled Secure Microservices in Edge Computing: Opportunities and Challenges,abstract,"The paradigm of edge computing has formed an innovative scope within the domain of the Internet of Things (IoT) through expanding the services of the cloud to the network edge to design distributed architectures and securely enhance decision-making applications. Due to the heterogeneous, distributed and resource-constrained essence of edge Computing, edge applications are required to be developed as a set of lightweight and interdependent modules. As this concept aligns with the objectives of microservice architecture, effective implementation of microservices-based edge applications within IoT networks has the prospective of fully leveraging edge nodes capabilities. Deploying microservices at IoT edge faces plenty of challenges associated with security and privacy. Advances in Artificial Intelligence (AI) (especially Machine Learning), and the easy access to resources with powerful computing providing opportunities for deriving precise models and developing different intelligent applications at the edge of network. In this study, an extensive survey is presented for securing edge computing-based AI Microservices to elucidate the challenges of IoT management and enable secure decision-making systems at the edge. We present recent research studies on edge AI and microservices orchestration and highlight key requirements as well as challenges of securing Microservices at IoT edge. We also propose a Microservices-based edge computing framework that provides secure edge AI algorithms as Microservices utilizing the containerization technology to offer automated and secure AI-based applications at the network edge.",,,,,,,,,
triple-059,171,MicroSecPost,METHOD,APPLIED_TO,microservice-based application,CONCEPT,2024,0.95,μSecPost models a microservice based application as a graph,unique_normalized_exact_quote_match,8b49e20cf6d981c5e7af582035e9c5254e432ecd,0,A Novel Approach for Security Analysis in Microservices Using Graph Neural Networks,abstract,"Microservice architectures, as opposed to traditional monolithic ones, require an entirely different approach to iden-tify vulnerabilities, anomalies and other security issues. This is primarily due to the increased attack surface they expose through APIs. A comprehensive analysis of how anomalies in one microservice may affect others requires a detailed understanding of the structure of the entire application. This knowledge can help drive the software architecture to be followed in production applications - particularly those that store and manipulate critical information where vulnerabilities can have a significant business or privacy impact. With this motivation, this paper proposes MicroSecPost (μSecPost), a GNN-based microservice security analysis approach. μSecPost models a microservice based application as a graph that combines data from both static and dynamic analysis, representing each service as a node and service-to-service interactions as edges. μSecPost uses Graph Neural Networks (GNNs) on this graph representation to assign a vulnerability score to each node, predict edge features and score the entire application based on the scores of individual nodes and edges. μSecPost aims to help understand the existing security posture of a microservice-based application and determine where possible improvements can be made.",,,,,,,,,
triple-060,763,microservices-based cloud-edge architecture,METHOD,COMBINES,Software-Defined Networking (SDN),METHOD,2025,0.9,"this paper presents a novel microservices-based cloud-edge architecture that integrates Software-Defined Networking (SDN), edge-AI, and agents",unique_normalized_exact_quote_match,05c26ba2473e432f3db292954fc38dfae61d0fcb,0,A Cloud-Edge Microservices Architecture for Smart Healthcare: SDN-Based Medical Asset Management,abstract,"Real-time hospital asset tracking and predictive maintenance are critical for ensuring patient safety, operational efficiency, and cybersecurity in modern healthcare environ-ments. Traditional network architectures often struggle with scalability, security enforcement, and real-time telemetry processing, limiting the effectiveness of medical IoT systems. To address these challenges, this paper presents a novel microservices-based cloud-edge architecture that integrates Software-Defined Networking (SDN), edge-AI, and agents for real-time medical asset tracking, anomaly detection, and adaptive policy enforce-ment. The proposed system leverages SDN for centralized traffic control and dynamic flow reconfiguration, while KubeEdge extends analytics and enforcement capabilities to the edge, ensuring low-latency decision-making and improved telemetry accuracy. Telemetry collector and security enforcement agents, deployed as Kubernetes DaemonSets, continuously monitor medical devices such as ventilators, infusion pumps, and ECG monitors. Real-time inference is powered by Autoencoder-based models, which detect anomalies with 94.5% accuracy at an average latency of 35.2 ms. Open vSwitch (OVS), integrated with Calico networking, enables programmable flow control and security isolation, achieving 99.2% policy enforcement success and reducing unauthorized access attempts by 72%. The network was deployed and validated on a three-node Kuber-netes cluster, demonstrating quantifiable improvements in fault detection, packet loss reduction, and resource responsiveness. These results position the proposed architecture as a scalable, secure, and measurement-aware framework for advancing next-generation healthcare instrumentation and intelligent telemetry systems.",,,,,,,,,
triple-061,2,Microservices Architecture,CONCEPT,USES,containers,TOOL,2021,0.9,containers are viewed as a natural compute platform for this architecture,unique_normalized_exact_quote_match,e9f78cc559511112b8b41cacd28f7476f217802d,0,Security in Microservices Architectures,abstract,"Abstract A Microservice is a small or even micro independent process that communicates, acts, and returns via messages through lightweight mechanisms like Thrift, HTTP or RESTAPI. Microservices Architecture is amateur evolution of the Monolithic Architecture. Observing it in afunctional way, it is correct to claim that it breaks down complex applications into a simpler abstraction. As this research demonstrates, Microservices Architecture is intrinsically connected as a symbiosis with container-based deployment, because these containers have no need for embedded operating systems and calls are made for OS resources, via an application programming interface. It is safe to claim that this technology is currently the focus of modern developers nowadays. Semantically speaking, Microservices functionally deconstruct larger applications into smaller, discrete services, and containers are viewed as a natural compute platform for this architecture [1]. A single service is and can be represented by multiple containers in a Microservices cluster, each single service is designed to provide a specific set of functions while services act to makeup the entire application. It’s common in large application the decomposition into multiple arms of more than twenty services, although less can be commonly found as well [1]. The main objective of Microservices Architecture is to disassemble the core components of a given type of application [2]. This study could be done in multiple ways, all of them different because practically everybody has their specific way of looking at Microservices, but one aspect is the same cross mentalities, Security. So, the focus of this research is to expose the main security aspects of this specific architecture, in this cost-effective era.",,,,,,,,,
triple-062,9,security strategies,METHOD,IMPROVES,security profile of the microservices-based application,METRIC,2019,0.95,"develop security strategies that counter threats specific to microservices, and enhance the overall security profile of the microservices-based application",unique_normalized_exact_quote_match,fb3d52bcb2a1ca5b588ce01846d002c12edd713c,0,Security strategies for microservices-based application systems,abstract,"Microservices architecture is increasingly being used to develop application systems since its smaller codebase facilitates faster code development, testing, and deployment as well as optimization of the platform based on the type of microservice, support for independent development teams, and the ability to scale each component independently. Microservices generally communicate with each other using Application Programming Interfaces (APIs), which requires several core features to support complex interactions between a substantial number of components. These core features include authentication and access management, service discovery, secure communication protocols, security monitoring, availability/resiliency improvement techniques (e.g., circuit breakers), load balancing and throttling, integrity assurance techniques during induction of new services, and handling of session persistence. Additionally, the core features could be bundled or packaged into architectural frameworks such as API gateways and service mesh. The purpose of this document is to analyze the multiple implementation options available for each individual core feature and configuration options in architectural frameworks, develop security strategies that counter threats specific to microservices, and enhance the overall security profile of the microservices-based application.",,,,,,,,,
triple-063,655,systematic literature review,METHOD,PRODUCES,CI/CD-specific vulnerability taxonomy,CONCEPT,2025,0.92,We then introduce a CI/CD-specific vulnerability taxonomy,unique_normalized_exact_quote_match,7c1e2e6bedf484e34e2d4b92b06ced2e03839768,0,Systematic Review of Identity-Centric Security in Cloud-Native CI/CD Pipelines,abstract,"As cloud-native CI/CD pipelines automate software delivery at scale, identity-centric security has become a critical concern. This paper reports a systematic literature review of 59 peer-reviewed studies that examine authentication and authorisation (AuthN/AuthZ) in CI/CD workflows. We synthesise key vulnerability classes, including token theft, privilege escalation, session hijacking, supply-chain abuse, and misaligned microservice identities. We then introduce a CI/CD-specific vulnerability taxonomy and systematically map established mechanisms such as OAuth 2.0, Kerberos, SAML, mTLS, RBAC/ABAC, XACML, API gateways, and MFA to the attack vectors they mitigate across the pipeline. Finally, we analyse emerging trends, including Zero-Trust Architecture, decentralised identity, service-mesh-based access control, and cryptographically anchored identity models that use blockchain and self-sovereign identity. The review exposes persistent gaps in configuration, observability, and runtime enforcement, as well as organisational barriers to adopting stronger identity controls. Our findings provide a structured foundation for designing trustworthy, identity-centric DevSecOps practices and highlight concrete research directions for securing access in cloud-native CI/CD environments.",,,,,,,,,
triple-064,574,JWT,METHOD,IMPROVES,security,CONCEPT,2022,0.95,"Key findings indicate that while OAuth2 and JWT significantly improve security, challenges such as token expiration management and service-to-service token validation persist.",unique_normalized_exact_quote_match,e491ab3ee15771ae6bd5a827a7b8b0cf3230f7b0,0,Applying OAuth2 and JWT Protocols in Securing Distributed API Gateways: Best Practices and Case Review,abstract,"The security of distributed systems, particularly in cloud-based environments and microservices architectures, is paramount as organizations increasingly rely on these systems for scalable and efficient operations. This paper explores the implementation of OAuth2 and JWT (JSON Web Tokens) protocols as fundamental components in securing distributed API gateways. OAuth2 offers a robust framework for authorization by decoupling user authentication from application logic, while JWT provides a lightweight and secure method of transmitting authentication information across services. The paper discusses the core components of OAuth2 and JWT, their roles in API security, and the implementation best practices that ensure secure token management, scalability, and fault tolerance. Case studies from cloud-based systems and microservices architectures illustrate real-world applications, highlighting both successes and challenges encountered during deployment. Key findings indicate that while OAuth2 and JWT significantly improve security, challenges such as token expiration management and service-to-service token validation persist. Finally, the paper identifies areas for future research, particularly in the development of enhanced token revocation mechanisms and the adaptation of OAuth2 and JWT for emerging technologies like serverless architectures. The study underscores the importance of these protocols in the evolving landscape of secure API gateway management and their potential to drive secure, scalable digital transformation.",,,,,,,,,
