item_id,paper_id,stored_pilot_retained,recomputed_current_lexical_retained,architecture_terms_matched,security_terms_matched
screen-266,784c328a18a2c0e485eab9d671ba175f412f6369,True,True,microservice,security; attack; threat; privacy
screen-267,250a85fe1b8c0e5e54d081ba1a00fdbc7045821f,False,True,cloud-native,security; attack; threat
screen-268,e491ab3ee15771ae6bd5a827a7b8b0cf3230f7b0,True,True,microservice,security; secure; authentication; authorization; oauth
screen-269,3a396742501eb6010df4988347bdaf248199410c,False,False,,security; secure; authentication; zero trust; attack; threat; identity
screen-270,3082b464eb036f925a76952f88d3f3c19cbb2a4f,True,True,microservice,security; authentication; attack; threat; identity
screen-271,7dbd690bc47295103a87129375c4ccb6ab998567,False,False,,security; secure; authentication; authorization; access control; threat; oauth
screen-272,182cbbf4aac1ec1190dc74ebb7b2fbd8b459b33c,True,True,microservice; cloud-native,security; attack; threat; policy
screen-273,c9be4435eb2cdf1dc5e18f473d51848690675487,True,True,microservice,security; attack
screen-274,7fa594a10174e2d861fe30a0cf5d7e98dc5abce2,False,True,microservice,security; attack
screen-275,4e4ea0b2fed9eca5e572ef8d6c6165904793fc95,False,False,,security; authentication; access control; zero trust; threat
screen-276,b59f406a655bf959c3df50b3dc4abb21b60e944b,True,True,microservice,security; secure; authentication; zero trust; attack; oauth; mTLS; mtls
screen-277,1f8acfefbdaca20fc15c65d88186e5a5880c8407,True,True,microservice,security; authentication; access control; attack; threat; privacy; identity; oauth
screen-278,c8b613463e55f47a32275accd071a2fb5e876ade,True,True,microservice,security; secure; authentication; authorization; attack
screen-279,f5ab88e5f1e08dc931c4f7a8693275c93d82ca07,True,True,microservice,security; access control; policy; oauth
screen-280,b5a1722411c2537a3039b34a9c163fca42c7a37e,False,False,,security; attack
screen-281,f3da5da3755c4b0f3d8515d7ba6eae050c43d850,False,False,,security; attack
screen-282,31ff7c5ddf7b69e24f223286f510e9f5c0a26f20,True,False,,security; authentication; authorization; access control; identity; policy; oauth
screen-283,850348c97e1a4f753e3734359c66438898c026cb,False,False,,security; zero trust; attack; privacy; identity; policy
screen-284,7023d311b4ea29f478674781e5ed259845235b97,True,True,microservice; service mesh; cloud-native,security; authentication; authorization; zero trust; attack; threat; policy
screen-285,457e27e821cb3c6e4955534c5b83aa0442e08e51,False,False,,security; attack
screen-286,6813b664f03d1eef3972a6d8e398f281227fb93d,True,True,microservice,security; authentication; authorization; access control; attack; identity; policy
screen-287,591c7bff41a759d6152743c074092172dcf58087,True,True,microservice,security; attack; policy
screen-288,badc002e6880742dd0bb6e3edd4748830a28271c,False,True,microservice,security; attack; threat
screen-289,301c433043fb8e992a0c36e2bb0a2032258e04dd,True,True,microservice,security
screen-290,7548444596e176d87c5cf8bcd713acac8319e45d,False,False,,security; access control; zero trust; threat; oauth
screen-291,798194f8790ba3971d1a5b2b5f8dcda7d261a733,True,True,cloud-native,security; access control; threat; policy
screen-292,c50f11310ccdcf4921c829b28e00b61258295333,False,False,,security; secure; access control; policy
screen-293,5934a287eae55898b12bd067a0a3354dd59b3898,True,True,microservice,security; secure; authentication; authorization; access control; attack; identity; policy; oauth; mTLS; mtls
screen-294,a0e229f39a7bcbe29f83c5a72e5236993ec99dc5,False,True,microservice,security; attack; privacy
screen-295,7508ff5d3eae301dcbe878b6353731866c7fcbb7,False,False,,security; authentication; access control; attack; threat
screen-296,df0a8962a99fd5a414eae5617eb9dc5fbed30df4,False,False,,security; attack; threat
screen-297,395c66ed3e8d451aec47d1d641f3b5f4cb68aa41,True,True,microservice,security; secure
screen-298,42ee919289c588333afa5226b220474f79331447,False,False,,security; attack
screen-299,f6268038f7815da85d3ed375d059e6354687b829,False,False,,security; access control; zero trust; threat; privacy; encryption; identity; policy
screen-300,53ee6b8cd718beba5519a8672bfc36237a8ab774,True,True,microservice,security; secure; zero trust
screen-301,234af3f413c8abba7189d33d214410da42a19616,False,True,microservice,security; privacy
screen-302,61b5f4d6beaaa8d2bd67653122ca7eee7117ab8f,True,True,microservice,security
screen-303,2ec8f3f39b3e9edbfc028ad7e7b29536990977ae,True,True,microservice,security
screen-304,a495e08638b55ba5f312a96a85e177888c599d26,False,False,,security; secure; authentication; access control
screen-305,be0bf74d9e7ee4a1e5a9b813501c5b114035c16b,False,False,,security; attack
screen-306,e9be9b23ca5818a564de3cc308b1dc0695f068f5,True,True,microservice; service mesh,security; privacy
screen-307,db9b65ee4c61621058cad337f28f7adcd1a0423b,True,True,microservice; service mesh,security; attack; encryption
screen-308,6f723df3a9979c39462a5d6654c725aa73919a71,True,True,microservice; cloud-native,security; secure; zero trust; threat; identity; policy
screen-309,e84fd3d3ca1747a0e71aca800f3205de101ce1bb,False,True,microservice,security
screen-310,3563672869e4da6734c7670425c2b00a4267e882,True,True,microservice,security; authentication; zero trust; threat; privacy
screen-311,56d76a28d058f9ac63e8dde9808f92e618817304,False,False,,security; zero trust; attack; threat; privacy
screen-312,f1b188e65bf78f28a3e8d879c2756e09745e8e8a,False,False,,security; zero trust; attack; threat; identity
screen-313,43efc40ba80805a61c2bf3fd9c32d3a2f0a8fbd5,True,True,microservice; cloud-native,security; secure; encryption
screen-314,6b5cd5d4ed3a1429b4dcd9f24489a31096950799,False,True,microservice; cloud-native,security
